,N,Mean,Std Dev,Min,Q1,Median,Q3,Max,Skewness,Kurtosis,Missing %
Latitude,220659.0,7.768,0.946,6.187,7.287,7.494,7.869,11.972,1.83,4.523,0.0
Longitude,220659.0,4.85,1.482,3.283,3.936,4.567,5.177,12.196,2.543,7.955,0.0
distance_to_nearest_road_m,220659.0,0.0,0.002,0.0,0.0,0.0,0.0,0.014,7.957,64.098,0.0
distance_to_nearest_road_km,220659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.957,64.098,0.0
roads_within_1000m,220659.0,5470970.0,0.0,5470970.0,5470970.0,5470970.0,5470970.0,5470970.0,0.0,0.0,0.0
road_length_within_1000m,220659.0,1369558280.292,0.0,1369558280.292,1369558280.292,1369558280.292,1369558280.292,1369558280.292,0.0,0.0,0.0
road_density_1000m,220659.0,1741463.838,0.0,1741463.838,1741463.838,1741463.838,1741463.838,1741463.838,0.0,0.0,0.0
roads_within_3000m,220659.0,5470970.0,0.0,5470970.0,5470970.0,5470970.0,5470970.0,5470970.0,0.0,0.0,0.0
road_length_within_3000m,220659.0,1369558280.292,0.0,1369558280.292,1369558280.292,1369558280.292,1369558280.292,1369558280.292,0.0,0.0,0.0
road_density_3000m,220659.0,193495.982,0.0,193495.982,193495.982,193495.982,193495.982,193495.982,0.0,0.0,0.0
roads_within_5000m,220659.0,5470970.0,0.0,5470970.0,5470970.0,5470970.0,5470970.0,5470970.0,0.0,0.0,0.0
road_length_within_5000m,220659.0,1369558280.292,0.0,1369558280.292,1369558280.292,1369558280.292,1369558280.292,1369558280.292,0.0,0.0,0.0
road_density_5000m,220659.0,69658.554,0.0,69658.554,69658.554,69658.554,69658.554,69658.554,0.0,0.0,0.0
lga_population,220659.0,434403.918,288508.122,66501.509,218965.024,356705.199,596537.804,2039135.994,2.289,10.327,0.0
sales_volume,220659.0,5547.457,7050.601,0.0,0.0,3150.0,9300.0,107200.0,1.641,3.988,0.0
